k,links,affs,NMI,CHS,SS
10,single,euclidean,0.646236265977487,59.25565624858692,0.09987154528356872
10,average,cityblock,0.6453804645523611,159.19257296234517,0.2992606196748082
7,complete,euclidean,0.6426970894747747,243.63403620831602,0.324436537466791
11,single,cityblock,0.6418050678226913,54.43800074056904,0.059870341147494746
7,complete,cityblock,0.6416226682559427,228.30920568097517,0.2900151336198805
11,single,euclidean,0.6394386623241807,53.459165194416315,0.05525318786923336
11,single,cosine,0.6392532327811316,37.76059993867267,-0.10658656624348177
11,average,cityblock,0.6379386383004713,147.86562896522915,0.2911675130820862
6,ward,euclidean,0.6373922823354241,255.03958444622455,0.3239072422446529
8,ward,euclidean,0.6362925574405394,235.64613555052122,0.3193551508780463
12,single,cityblock,0.6326930307980042,50.67652077029019,0.0037649726214614414
5,complete,cityblock,0.6316899145464361,236.313262405085,0.3194031098519243
12,single,cosine,0.6315745739030264,34.38548916674559,-0.1732386289144785
12,single,euclidean,0.6261461025947801,58.93201706253917,0.10124855415129132
8,complete,cityblock,0.6225085168338967,223.28791252865022,0.2816059113876181
6,complete,euclidean,0.6224529062855549,259.16351392225494,0.3291868124406778
9,ward,euclidean,0.6197366993192039,230.2387264819569,0.31011990380392485
8,complete,euclidean,0.6189436203988863,233.47305582987485,0.3128689094431769
9,complete,cityblock,0.6148687466725681,204.8991870986755,0.2814168190459663
12,ward,euclidean,0.6145031663764198,216.1577445081077,0.3280784775796031
10,ward,euclidean,0.6136331188766098,226.6911936030409,0.3215529908418728
9,complete,euclidean,0.6125047493770235,223.65801379188562,0.32421825929688863
11,ward,euclidean,0.6122886960802015,220.8290992156253,0.3242135978153741
5,complete,cosine,0.6095727681051838,103.78260294497194,0.19671428876893854
6,average,cosine,0.6063282175694145,84.22852307119933,0.11607351398387053
10,complete,euclidean,0.6024756004679335,218.25318127401889,0.31395720587868203
11,complete,cityblock,0.6019271959753695,206.8029112921651,0.2781876924141752
12,complete,cityblock,0.5990432751111363,201.84927213287156,0.28097696528524657
11,complete,euclidean,0.5983393045214186,206.85897267168707,0.3055347443356724
10,complete,cityblock,0.5962424399161562,201.82854818288368,0.26019061154019607
